start_time,end_time,strategy,symbol,interval,initial_usdt,final_usdt,pnl_usdt,pnl_percent
2025-05-04 19:49:15,2025-05-04 19:49:17,proyecto,BTCUSDT,15m,14999.92,14999.92,0.0,0.0
2025-05-04 19:50:27,2025-05-04 20:27:17,proyecto,BTCUSDT,15m,14999.92,14999.92,0.0,0.0
